Hindi,English
है,Is
के,Of
मैं,I
नहीं,No
हैं,Are
में,In
एक,One
आप,You
लिए,For
और,And
यह,it
से,From
की,of
क्या,What
कि,That
तुम,You
हो,yes
कर,Tax
मुझे,Me
को,To
हम,We
था,Was
वह,He
पर,But
हूँ,am
रहे,are
भी,Too
रहा,Raised
का,Of
अपने,Our
कुछ,Some?
तो,So
गया,Went
इस,This
मेरे,My
ठीक,Correct
करने,Do
किया,Did
साथ,with
उसे,Him
हाँ,Yes
वे,They
सकते,Can
लेकिन,But
यहाँ,Here
तुम्हें,You
कोई,Any
तरह,Kind
अब,Now
पता,Address
होगा,will be
बहुत,Very
बात,talk
सकता,Can
जाओ,Go
ही,Sole
दिया,Gave
करना,to do
जा,Go
मेरी,My
सब,All
बारे,About
लगता,Festive
कहा,Said
जो,Who
वहाँ,There
जब,When
इसे,This
अच्छा,Good
चाहिए,Needed
बाहर,Outside
करो,do it
क्यों,Why
अपनी,Own
थे,Were
चलो,Let us go
दो,Two
ले,Take
किसी,Any
फिर,Then
काम,Work
अगर,If
ये,These
कैसे,How
करते,Do
पहले,First
बस,Bus
चाहते,Want
जाएगा,Will go
आदमी,Man
कभी,Sometimes
समय,Time
वापस,Back
हमें,Us
रही,doing
आ,Come
तक,till
हमारे,Our
मेरा,My
रूप,Form
मैंने,I
करता,Do
या,Or
अभी,Now!
मिल,Mill
चाहता,Want
घर,Home
उसके,His
सभी,All
उस,That
मत,Don't
आपको,To you
जाना,Go
अरे,Oho
सिर्फ,Only
बंद,Close
ओह,Oh
सही,Correct
हूं,Am
थी,Was
देखो,See
तुम्हारे,Your
प्यार,Love
वो,They
जरूरत,Need
लोगों,People
हुआ,Happened
करें,Do
ऐसा,As such
उन्होंने,They
दिन,Day
न,No
बाद,after
कौन,Who
हर,every
पास,Near
दे,Give
नीचे,Below
देखा,saw
जाता,go
बार,Times
कृपया,Please
धन्यवाद,Thank you
पिता,Father
करेंगे,do
भगवान,God
क्योंकि,Because
लोग,People
वाला,Wave
जानते,Know
देख,See
छोड़,Quit
आज,Today
मतलब,Meaning
कहाँ,Where?
जीवन,Life
आओ,Come
जाने,Go
अधिक,More
यही,This only
होता,Would
सर,Sir
मदद,Help
रात,Night
माँ,Mother
लिया,Lax
केवल,Only
तुमने,you have
सबसे,To all
नाम,Name
मार,Kill
हुए,Has
हमेशा,Always
याद,Memory
कारण,Reason
गए,Went
आया,Came
जानता,knows
शायद,Perhaps
साल,Year
दूर,away
हे,Hey
होने,Having
फोन,Phone
भाई,Brother
वास्तव,really
शुरू,Start
उसकी,His
मिला,found
जगह,Place
कोशिश,Effort
कम,Less
सच,Truth
लग,Lag
शादी,Marriage
पसंद,Like
चला,walked
इन,in
अच्छी,Good
तुम्हारी,yours
यहां,Here
दोस्त,Friend
मर,Die
कहते,Say
होना,Happen
दुनिया,World
तुम्हारा,yours
एम,M
कह,Say
इसके,Its
रुको,wait
तैयार,Ready
बच्चे,Children
लो,Take
उनके,Their
जैसे,As
इतना,This much
जल्दी,Quick
अंदर,Inside
श्री,Mister
यदि,If
कल,Tomorrow
ऊपर,Above
देंगे,Will give
आपके,Your
हमारी,Our
बताओ,Tell
खुद,Self
गई,Went
अपना,own
खैर,well
उसने,He
वाले,Wale
चलते,Go
रहो,Stay
दी,Gave
मिलता,Meet
बेहतर,better
कार,car
बकवास,Nonsense
पीछे,Back
द्वारा,By
मुझसे,Me
हाथ,Hand
विश्वास,faith
पूरी,Complete
ना,No
महिला,Woman
लड़की,Girl
आपका,Yours
देखने,View
तुमसे,To you
लगा,Put
उसका,His
चल,Ambulatory
ओर,Side
मिनट,minutes
समझ,Understanding
बिना,Without
बता,Tell
तीन,Three
सुनो,Listen
पैसे,money
होगी,Will be
दोनों,Both
कहना,Tell
पुलिस,Police
देना,Give
पुरुष,Male
कहीं,somewhere
बना,Made up
परिवार,Family
खो,Lose
दिल,Heart
हां,Yes
लेने,Take
बेटा,Son
सोचा,thought
आगे,Ahead
जहां,Where
पागल,crazy
सुना,heard
जाते,Go
चले,Walked
बोल,Lyrics
गलत,Wrong
ज्यादा,More
महसूस,Feel
चाहती,Want
सकती,Can
यकीन,faith
इसलिए,so
पी,P
आता,Come
आपकी,Yours
लड़का,Boy
उह,Uh
समस्या,Problem
बुरा,bad
सुंदर,Beautiful
छोटे,Small
बताया,told
खत्म,End
आने,Arrival
कमबख्त,Fucking
यार,Buddy
बीच,between
दूसरे,Others
काफी,Enough
भूल,Mistake
ध्यान,Attention
हुई,Hui
तब,Then
बेटी,Daughter
रहने,Stay
खेल,game
बड़ा,Big
माफी,Forgiveness
बच्चों,Children
शहर,City
आह,Ah
पूरा,Complete
बदल,Change
देने,Give
देखते,Sight
देर,Late
डाल,Pouring
बिल्कुल,Absolutely
कई,Many
वाह,Wow
सोच,Thinking
भुगतान,Payment
जैक,Jack
बेटे,Son
मुझ,Me
पानी,Water
महोदय,Sir
आग,Fire
देता,Given
आते,Come
कहां,Where
चिंता,Worry
रखना,Keep
उससे,In
पहली,First
बनाने,Make
गोली,Gun Shot
माध्यम,Channel
कितना,How much
सुरक्षित,Safe
देखना,Look
वहां,There
इससे,From this
इसका,Its
मारा,hit
पत्नी,Wife
रहना,stay
पार्टी,Party
अन्य,Other
अच्छे,Good
हैलो,Hello!
महान,Great
आए,Come
क्षमा,Forgiveness
पिछले,Rear
मारने,Kill
रहते,Live
वादा,Promise
राजा,King
इंतजार,Wait
उनकी,His
सुबह,Morning
सिर,Head
नए,New
विचार,Idea
दोस्तों,Friends
योजना,Plan
प्राप्त,get
घंटे,hours
खुश,Happy
अंत,Ending
करती,Do
करेगा,Will do
थोड़ा,Little
सम्मान,Respect
आदेश,Order
पूरे,Full
अलग,apart
उम्मीद,Hope
आर,R
पाने,Get
औरत,women
इतनी,So much
लड़के,Boys
गिर,Gir
संगीत,music
रास्ता,way
युद्ध,war
रास्ते,Gesture
हमारा,Our
जारी,Ongoing
मन,Mind
लड़ाई,battle
डाला,Pouring
शुक्रिया,Thanks
मुश्किल,difficult
आराम,Rest
चुका,Repayed
प्रिय,Dear
झूठ,Lie
बंदूक,gun
खुशी,Happiness
नरक,hell
आशा,Hope
चुप,Silent
उपयोग,Use
सवाल,Question
आपने,You
वैसे,By the way
देश,Country
रखो,Please Keep
असली,Real
बड़ी,Big
जैसा,As
सुन,Listen
हाय,Hi
चोट,Injury
रखा,kept
मौत,Death
पापा,Father
पर्याप्त,Sufficient
पुरुषों,Men
शांत,Calm
पुराने,Old
हंसते,Laughing
सा,Like
दें,Give
पकड़,grasp
बहन,Sister
सामने,Front
सुरक्षा,Security
खाने,Eating
खाना,Eat
चाचा,Uncle
बन,become
अमेरिका,America
परेशान,Worried
बच्चा,Child
सी,C
जवाब,answer
सेना,Army
आसान,Easy
पैसा,Money
ऐसे,This way
महीने,Month
रखने,Keep
छोटी,Small
अलविदा,goodbye
कदम,step
अगले,Next
भाग,Part
नमस्ते,hello
सारे,all
लंबे,Long
देते,Giving
कॉल,Call
छोटा,Small
भाड़,Fuck
बनाया,Made up
हमने,We
स्थिति,Situation
इस्तेमाल,Use
परवाह,Care
कैसा,How?
होती,Happiness
गलती,Mistake
राम,Ram
नष्ट,Destroyed
स्वागत,Welcome
अजीब,Strange
रह,Stay
व्यक्ति,Person
मूर्ख,Idiot
तुम्हे,To you
सिकंदर,Alexander
मै,I
मालिक,Owner
गंदगी,Dirt
रखें,Keep
नौकरी,Job
हांक,Hank
जीत,Victory
कंपनी,Company
लेंगे,Will take
चारों,All four
तस्वीर,picture
रहता,Live
कहानी,Story
खड़े,Standing
रोक,Stoppage
बातें,Things
अकेले,Lonely
किस,What
साफ,Clean
िलए,For
मौका,Opportunity
भरोसा,Reliance
चिल्ला,Shout
जहाँ,Where
कसम,swear
सारा,All
करीब,Closer
जान,Life
तुलना,Compare
इतने,So much
कब,When?
यात्रा,Travel
हमला,assault
रक्षा,protect
पाया,Found
जल्द,Soon
पति,Husband
गयी,Gone
जहाज,ship
बेबी,Baby
हवा,Air
आती,Come
दरवाजा,Door
जाएगी,Will go
कहता,Say
स्कॉट,Scott
मिलेगा,will get
मां,Mother
वाली,Wali
महत्वपूर्ण,Important
जय,Victory
अकेला,alone
सामान,stuff
सो,Sleep
रख,Keep
शामिल,Involved
नया,New
मिलने,Meet
निश्चित,Fixed
करनी,Do
स्कूल,School
जेल,Jail
तरफ,Side
बड़े,elder
पल,Moment
अंतिम,Last
ब्रायन,Bryan
पैदा,Born
चार,Four
कितने,How many?
कहने,Say
इंदर,Inder
इंतज़ार,wait
जी,Yes
मातृभाषा,Mother tongue
अस्पताल,hospital
जाँच,Check
बर्बाद,Ruined
दर्द,Pain
दिनों,Days
शॉन,Sean
पृथ्वी,Earth
महिलाओं,Women
पूछ,Ask
लगभग,About
नफरत,Hate
बताने,tell
देखें,See
ट्रेवर,Traver
सप्ताह,Week
बेशक,Of course!
डॉक्टर,Doctor
पांच,Five
स्पष्ट,clear
लगी,Lagged
इसकी,his
तोड़,Bang
मजाक,Joke
पालन,Compliance
यहीं,Right here
खाता,Account
क्षेत्र,Area
भर,Bare
मामले,Case
खबर,News
ज़रूरत,need
सड़क,road
हत्या,Sarcasm
समाप्त,End
प्रकार,Type
ली,Took
संदेश,Message
क्लिक,Click
माफ़,Forgiveness
शब्द,Word
खिलाफ,Against
खून,Blood
जॉन,John
लाने,Bring
शक्ति,Power
जाए,Go
फ्यूरर,Furr
भोजन,Meal
आवाज,Sound
हिस्सा,Part
कमीने,Bastard
वही,Same
भेजा,Sent
होंगे,Will be
देगा,Will give
जानती,Knowing
गधे,Donkey
रंग,Colour
मृत,dead
शांति,Calmness
आश्चर्य,Wonder
बेवकूफ,Idiot
शरीर,Body
इच्छा,Desire
टीम,Team
बताना,Narrate
बचा,Left out
होते,Having
कहो,Say
आना,come
लाइन,Line
मरने,Dying
व्यापार,Business
कितनी,How many
सं,No
दुश्मन,Enemy
तेजी,Rapid
स्वीकार,Accept
जिस,That
जीवित,alive
बाकी,Balance
पार,Cross
दस,Ten
कमरे,Room
संभाल,Handle
खोज,Search
आसपास,nearby
कार्यालय,Office
बढ़िया,Excellent
मिशन,Mission
बर्ट,Burt
खेद,Regret
लेकर,With
डौग,Doug
चोरी,Theft
चेहरे,Face
एंडी,Andy
हम्म,Hmm
चुके,Sailed
जानेमन,Jaiman
राष्ट्रपति,President
हथियार,Weapon
सरकार,Government
पूर्व,East
जंगल,Forest
बचाने,Save
लेना,Take
मानव,human
बेकार,Useless
ग्रह,Planet
करके,By doing
सोचते,Thinking
लाया,brought
गये,Gone
नेता,Leader
हा,Ha
जांच,Test
साथी,partner
बैठ,Seated
साहब,Sir
प्रार्थना,Prayer
यीशु,Jesus
अनुमति,Permission
मजबूत,Strong
लड़कियों,Girls
भेज,Sending
पूछना,Ask
विकल्प,Option
सीधे,Straight
खोजने,Find
सवारी,Ride
नंबर,Number
मैडम,Madam
विशेष,Specific
दूसरी,Second
ख्याल,Care
उत्तर,Answer
दिमाग,Brain
मुक्त,Free
उनका,their
उनमें,In them
कॉलेज,College
कप्तान,Captain
हाउस,House
निशान,Mark
आवश्यकता,Need
पेड़,Tree
सारी,all
निकल,Out
ऐसी,Such
श्रीमान,Sir
हालांकि,Although
जिंदा,Alive
पैर,Feet
युवा,Youth
तय,fixed
राज्य,State
जादू,Magic
जानकारी,Information
नई,New
शॉ,Shaw
इसमें,In this
सुनिश्चित,ensure
बुरी,Bad
पीठ,Back
समुद्र,Sea
पड़ा,Lying
व्हाइट,White
गर्म,warm
कोड,Code
कठिन,Difficult
मुसीबत,Trouble
लायक,Worthy
सोने,Gold
छह,Six
रेडियो,radio
समझते,Understand
करोगे,Will you
दरवाजे,Doors
सेकंड,Second
भविष्य,Future
जला,Burn
सामान्य,General
कोडी,Kodi
खाली,Empty
निर्णय,Decision
दूसरों,Others
गति,motion
नियंत्रण,Control
गंभीर,Serious
आँखें,eyes
चाल,move
परमाणु,Atom
बिस्तर,Bed
अधिकार,rights
गायब,Missing
कपड़े,Clothes
लक्ष्य,Target
तेज,Quick
प्रेज़ीडेंट,Disposant
दौरान,during
चलिए,Let go
जाती,Jet
तरीका,Method
चेहरा,face
उड़ान,flight
जबकि,Whereas
जिम,gym
ड्राइव,Drive
तुरंत,Immediately
लानत,Shame
निर्माण,Construction
दूसरा,Second
संभव,possible
कुतिया,Bitch
सक्षम,Able
कॉफी,Coffee
विंसेंट,Vincent
सावधान,Attention
पहुँच,access
सांस,Breath
प्रवेश,Entry
सपना,Dream
बिजली,Electricity
पेले,Pellet
इंजन,engine
तरीके,Manner
लड़कों,Boys
दुकान,Shop
संपर्क,Contact
सेवा,Service
पूछा,Asked
चुकी,Tailor
बुला,Call
मारो,Beat
अलावा,In addition
करूँगा,Will do
फेंक,Throw
ड्रैगन,Dragon
नमस्कार,Hello
उठो,Get up
पक्ष,Party
बीमार,Sick
धीरे,Slow
भारी,Heavy
पकड़ो,Grab
मिले,meet
प्रभु,Lord
लगाने,Set up
ओक्जा,Oak
खा,Eat
सहमत,Agree
रिपोर्ट,Report
मृत्यु,Death
चाय,Tea
बैठक,meeting
सात,Seven
खराब,Bad
नुकसान,Loss
खर्च,Expenditure
पड़ता,Falls
लाख,Lakh
समझा,understood
निकाल,Out
बिलकुल,Absolutely
प्लीज़,Please
बारी,Turn
भूमि,land
लेते,Take
खींच,Stretch
दूँगा,Will give
जमीन,land
कार्य,Work
बजे,O'clock
आई,I
प्रकाश,Light
लें,Take
सूअर,Boar
लेफ्टिनेंट,Lieutenant
देखेंगे,Will see
चीजें,Things
छोड़ने,Leaving
पीछा,Chase
बढ़,Enhancement
भाग्यशाली,lucky
गर्व,Proud
ताकि,So that
टूट,Blow
शानदार,Fabulous
उच्च,High
भाग्य,Luck
टायर,Tire
पहला,First
ओम,Om
डी,D
तेरे,Your
सौदा,deal
काट,cutting
कराह,Groan
खूबसूरत,Beautiful
बनाना,Make
गड़बड़,Mess
फैसला,Decision
ज़रूर,Sure
प्रतीक्षा,Wait
थोड़ी,Slightly
वर्ष,Year
नही,No
दिखाने,Show
परिवर्तन,Change
समुद्री,Marine
आनंद,Pleasure
रोकने,Stop
सूट,Suit
शिकार,Hunt
मारे,Mare
साइमन,Simon
मील,Mile
जानना,Know
वक्त,Time
सैम,Sam
धोखा,Danger
चिंतित,Concerned
जन्मदिन,birthday
टीवी,TV
कल्पना,Imagination
पा,Pa
बधाई,Congrats
होटल,hotel
पुरानी,Old
इसी,This
हिम्मत,Courage
राहुल,A male name
हेलो,Hi
लाल,Red
समर्थन,Support
जिसे,Whom
कार्ड,Card
डैनी,Danny
चलें,Let's go
बेच,Sell
डॉलर,Dollar
जाएंगे,Will go
जाएँ,Go
माफ़,Forgiveness
ए,A
गले,Throat
बदलने,Change
प्यारी,cutie
भयानक,Horrible
अचानक,Suddenly
कानून,Law
उसी,In the same
खतरनाक,Dangerous
बच,Exorcism
स्थान,place
भागो,Run
रक्त,Blood
उड़ा,Blow
साबित,Proven
दक्षिण,South
उम्र,Age
रहें,Stay
सोचता,Thinking
सुनने,Listen
बैठो,Sit
तलाश,seek
शाम,Evening
मास्टर,master
धत्,Dhat
बुलाया,called
मानना,Accept
व्यस्त,Busy
ज़्यादा,More
दूंगा,Give
अप,Up
फ़ोन,phone
ऐलिस,Alice
खड़ा,Stand -up
सोचो,Think
करूंगा,Will do
डॉ,Dr
रानी,Queen
एलिजाबेथ,Elizabeth
रो,Cry
आये,Come
करोड़,Ten million
दूरी,distance
लेता,Take
हार,Garland
बज,Rather
एरिक,Eric
कीजिए,Do
छत,Roof
सके,Sustain
माता,Mother
मिली,Found
देखकर,after seeing
देखभाल,Care
अध्यक्ष,chairman
पहचान,Identification
पूछो,Ask
तूफान,Hurdle
बैग,Bag
किए,Done
तौर,Form
एन,N
दीवार,Wall
इलाज,Treatment
समझे,Understand
मुख्य,main
शराब,Liquor
सेट,Set
कराहना,Groan
सज्जनों,Gentleman
फर्क,Difference
राजनीति,Politics
कमांडर,Commander
प्रणाली,System
दिखाई,Visible
बम,Bomb
जाकर,Jumped
हाल,Condition
स्टेशन,station
लाओ,Bring
घुरघुराना,Ghurghurana
भारत,India
पश्चिम,West
